asin,body_snippet,num_public_reviews,num_reviews,prod_name,profile_id,profile_name,profile_url,review_date,review_title,stars
B0768V3X12,"
Great product and very easy to use!
",14,23,"
Techkey OTG USB 3.0 Mobile Flash Drive with Lightning Connector For iPhones, iPads & Computers,32G,Gold
",AF5XX4EPJBGO5O2KWRGUWEXTXFSA,Terri,/gp/profile/amzn1.account.AF5XX4EPJBGO5O2KWRGUWEXTXFSA,2018-02-09 04:35:06,Great,5
B079NR4Q98,"
Excellent case and it looks very transparent. Most importantly its light weight and with transparency it doesn't look a cover on phone, making us retain the elegant look of the phone
",14,23,"
Case for iPhone X, Voroar Super Slim 0.4mm Case for Apple iPhone 10 / X (2017)
",AF5XX4EPJBGO5O2KWRGUWEXTXFSA,Terri,/gp/profile/amzn1.account.AF5XX4EPJBGO5O2KWRGUWEXTXFSA,2018-02-08 06:17:15,Excellent case,5
B079JVH9JM,"
Great cable charger price. I bought from another a few months ago, and still perfect. No tearing or unreliable connections. It's like branded phone cable, but the price is better! .High quality pro...
",14,23,"
Lightning Cable iPhone ChargerNylon Braided Charging Cable USB Charger Cable for Apple iPhone X/8/7/7 Plus(14PACK)
",AF5XX4EPJBGO5O2KWRGUWEXTXFSA,Terri,/gp/profile/amzn1.account.AF5XX4EPJBGO5O2KWRGUWEXTXFSA,2018-02-07 11:16:57,"it is good,",5
B078KHTHZ4,"
I am very happy I ordered this thermometer, It is absolutely brilliant,It takes only 1 second to measure the temperature and it's very accurate.
",14,23,"
Accurate Medical Fever Body Basal Thermometers for Adult Baby (Green b1)
",AF5XX4EPJBGO5O2KWRGUWEXTXFSA,Terri,/gp/profile/amzn1.account.AF5XX4EPJBGO5O2KWRGUWEXTXFSA,2018-02-06 20:29:04,brilliant and accurate,5
B079JS8HMY,"
These lightning cables are the best I've ever used. The cable feels heavy and the connector has a great protection against the bending of everyday use. Great product!
",14,23,"
Power lightning protection cable, 3 packs 1FT 2FT 3FT nylon iPhone charger cable USB charging cable iPhone 5S Green14
",AF5XX4EPJBGO5O2KWRGUWEXTXFSA,Terri,/gp/profile/amzn1.account.AF5XX4EPJBGO5O2KWRGUWEXTXFSA,2018-02-01 09:40:47,The best cable I've used,5
B079FKHF6Q,"
These are great little gadgets they fit on the back of the phone great they help prop my phone up they help me hold on tight to my phone so I don't drop him and I can set him up or down they came f...
",14,23,"
MobilePhone Ring Holder Stand, FURgenie 360¡ã Rotation Universal Smartphone 1.29 03
",AF5XX4EPJBGO5O2KWRGUWEXTXFSA,Terri,/gp/profile/amzn1.account.AF5XX4EPJBGO5O2KWRGUWEXTXFSA,2018-01-31 21:42:31,Great to hold the phone up,5
B079QY8KKF,"
my second purchase of this product! I saw much cheaper product from other seller, but I was too skeptical. This product is in the reasonable price and a good quality, and I give strong recommendation!
",14,23,"
Screen Protector - [Arc Edges] [Portable] Tempered glass screen protector vivo S7i(t) blue1
",AF5XX4EPJBGO5O2KWRGUWEXTXFSA,Terri,/gp/profile/amzn1.account.AF5XX4EPJBGO5O2KWRGUWEXTXFSA,2018-01-31 05:05:41,This product is in the reasonable price,5
B079NFKFVS,"
Love . This was the first time I used this brand and I am completely satisfied. It was extremely easy to apply and love that it the wipes, lint cloth and sticky tape to remove any additional lint b...
",14,23,"
Tempered glass Screen Protector, Curved Mobile Phone Cover Glass Screen Protector For Moto A1200R scarlet3
",AF5XX4EPJBGO5O2KWRGUWEXTXFSA,Terri,/gp/profile/amzn1.account.AF5XX4EPJBGO5O2KWRGUWEXTXFSA,2018-01-31 02:20:02,Worth the price,5
