asin,body_snippet,num_public_reviews,num_reviews,prod_name,profile_id,profile_name,profile_url,review_date,review_title,stars
B0768V3X12,"
I love it
",14,23,"
Techkey OTG USB 3.0 Mobile Flash Drive with Lightning Connector For iPhones, iPads & Computers,32G,Gold
",AFVSSQNCP4TJME43JJ5W2IDHP57A,Amazon Customer,/gp/profile/amzn1.account.AFVSSQNCP4TJME43JJ5W2IDHP57A,2018-02-09 04:38:38,Five Stars,5
B079NR4Q98,"
Looks strong and looks like very good quality. Delivery is on time. High quality. I recommend this product.
",14,23,"
Case for iPhone X, Voroar Super Slim 0.4mm Case for Apple iPhone 10 / X (2017)
",AFVSSQNCP4TJME43JJ5W2IDHP57A,Amazon Customer,/gp/profile/amzn1.account.AFVSSQNCP4TJME43JJ5W2IDHP57A,2018-02-08 06:21:35,Very happy with the purchase,5
B079JVH9JM,"
I have not tried these for data transfer, but they work great as charging cables. No more warning of incompatible cables. These are much thicker than other non-  cables I have used, so I have high ...
",14,23,"
Lightning Cable iPhone ChargerNylon Braided Charging Cable USB Charger Cable for Apple iPhone X/8/7/7 Plus(14PACK)
",AFVSSQNCP4TJME43JJ5W2IDHP57A,Amazon Customer,/gp/profile/amzn1.account.AFVSSQNCP4TJME43JJ5W2IDHP57A,2018-02-07 11:24:47,"Strong cables, heavier gauge than most I have...",5
B078KHTHZ4,"
Love this thermometer, favorite thing about it is no fever lights up green and fever lights up red! Pretty neat! Also very easy to use and love that it has both ear and forehead!
",14,23,"
Accurate Medical Fever Body Basal Thermometers for Adult Baby (Green b1)
",AFVSSQNCP4TJME43JJ5W2IDHP57A,Amazon Customer,/gp/profile/amzn1.account.AFVSSQNCP4TJME43JJ5W2IDHP57A,2018-02-06 20:32:33,Great thermometer!!!,5
B079JS8HMY,"
In some cases, such as in a hotel, you only need longer cables to get to the wall outlet. Nylon braiding makes this cable more flexible and appealing.
",14,23,"
Power lightning protection cable, 3 packs 1FT 2FT 3FT nylon iPhone charger cable USB charging cable iPhone 5S Green14
",AFVSSQNCP4TJME43JJ5W2IDHP57A,Amazon Customer,/gp/profile/amzn1.account.AFVSSQNCP4TJME43JJ5W2IDHP57A,2018-02-01 09:45:39,More flexible and attractive,5
B079FKHF6Q,"
These are great. I got these for my wife and daughter to use on their phones. They are very good quality and thin line enough to still have a touch of elegance and sophistication. They aren't huge ...
",14,23,"
MobilePhone Ring Holder Stand, FURgenie 360¡ã Rotation Universal Smartphone 1.29 03
",AFVSSQNCP4TJME43JJ5W2IDHP57A,Amazon Customer,/gp/profile/amzn1.account.AFVSSQNCP4TJME43JJ5W2IDHP57A,2018-01-31 21:45:37,"Nice, easy and elegant",5
B079QY8KKF,"
Loved how easy the i were to follow! But the best thing was the sticker idea to hold the screen saver in place. First time I've replaced without having to pick up and adjust!! Thank you.Will buy again
",14,23,"
Screen Protector - [Arc Edges] [Portable] Tempered glass screen protector vivo S7i(t) blue1
",AFVSSQNCP4TJME43JJ5W2IDHP57A,Amazon Customer,/gp/profile/amzn1.account.AFVSSQNCP4TJME43JJ5W2IDHP57A,2018-01-31 05:09:42,Loved how easy the i were to follow,5
B079NFKFVS,"
I'm pretty clumsy with my phone and i've dropped it on numerous occasions, r protect has some chips and cracks but has protect my phone from those chips and cracks. My phone's screen is still safe ...
",14,23,"
Tempered glass Screen Protector, Curved Mobile Phone Cover Glass Screen Protector For Moto A1200R scarlet3
",AFVSSQNCP4TJME43JJ5W2IDHP57A,Amazon Customer,/gp/profile/amzn1.account.AFVSSQNCP4TJME43JJ5W2IDHP57A,2018-01-31 02:23:03,The best glass protector,5
