asin,body,date_posted,is_verified,num_helpfuls,profile_url,stars
B073VLVNMV,Poor quality construction and very bad sound quality,2017-12-28,True,0,/gp/profile/amzn1.account.AFRVRP76L7PEH23PGIP65LJDTU3A/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B073VLVNMV,"This thing is easy to use, fits good, and the sound is amazing.  I'm impressed.",2017-11-11,False,0,/gp/profile/amzn1.account.AGKZVQEKO7T3LKCIHAFL5TD2CMHA/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B073VLVNMV,"Pros: Decent sound, works great with Bluetooth, comfortable.Cons: terrible battery life",2017-12-23,True,0,/gp/profile/amzn1.account.AFYGFN4V2KVMF5DIMQC73PZZVLJQ/ref=cm_cr_getr_d_pdp?ie=UTF8,3.0
B073VLVNMV,"They synced easily. I started wearing them and the right bud, with the battery attached, kept pulling out of my ear. I switched the ear bud covers to a larger one hoping it would fit tighter but it did the same thing. Then the sound started to crackle. It was intermittent at first but before the first charge had ran out, about 4 hours, they died completely. Sent them back.",2018-01-03,True,0,/gp/profile/amzn1.account.AEZ74LMNTYEZXQARXVIIZAQEBCJQ/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B073VLVNMV,Worked for an hour and then wouldn't work anymore. If that's the battery life then this product is garbage. Not happy with it at all.,2017-12-30,True,0,/gp/profile/amzn1.account.AFVJ6SHCKCJZ4W6L4C7AENGDIZWA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B073VLVNMV,The headphones have good sound. The contol box is a bit bulky.,2017-12-31,True,0,/gp/profile/amzn1.account.AEPTOSRNFKANZ7F5NM7NQBG6DKGQ/ref=cm_cr_getr_d_pdp?ie=UTF8,3.0
B0756YXM7H,"Plugged this in and my brand new iPhone 7 Plus said ""this accessory is not supported"" and it didn't work at all - neither the charger nor the audio component. I threw it in the trash which is where it belongs.",2017-10-03,True,1,/gp/profile/amzn1.account.AHRE2I3MMG32OPRZDGCGXIAY43LA/ref=cm_cr_arp_d_pdp?ie=UTF8,1.0
B0756YXM7H,"Didn’t work consistently on iPhone 8 with iOS 11. Audio dropped out, didn’t seem to fit the port very well.",2017-10-04,True,1,/gp/profile/amzn1.account.AG5EFZOYLYEUGU76PBW5M47NUTKA/ref=cm_cr_arp_d_pdp?ie=UTF8,1.0
B0756YXM7H,Plugged it in and it worked for a minut or two then my phone popped up “software not supported” and couldn’t get it to work again,2017-10-20,True,0,/gp/profile/amzn1.account.AHJEHKAKPYEYYJDMNY343RU7YTMA/ref=cm_cr_arp_d_pdp?ie=UTF8,1.0
B0756YXM7H,-5 stars! Didn’t work AT ALL. A big notification popped up immediately upon plugging it in saying it’s not compatible! And it didn’t work AT ALL! Totally bummed! The whole no headphone jack on the new iPhone SUCKS!,2017-11-26,True,0,/gp/profile/amzn1.account.AFU3ISKVOQKVQB3PK4SPEOATZYHQ/ref=cm_cr_arp_d_pdp?ie=UTF8,1.0
B0756YXM7H,Doesn’t work at all. Not to charge my iphone7 or to play music via aux cord adapter. Very disappointed in this product.,2017-10-03,True,1,/gp/profile/amzn1.account.AE7A5AEL6Q5BEA2IBURAR3GC7DMA/ref=cm_cr_arp_d_pdp?ie=UTF8,1.0
B0756YXM7H,Don't work I keep getting a message saying it does not support my device I have iPhone 7 plus  waste of money,2017-10-12,True,0,/gp/profile/amzn1.account.AEW6Y65UVIHNCZWQ2DQJPP3JHJIQ/ref=cm_cr_arp_d_pdp?ie=UTF8,1.0
B0756YXM7H,"PLEASE BEWARE THIS PRODUCT IS NOT SUPPORTED BY IPHONE 7. I am disappointed to find it doesn't work (it plays for a few seconds then get an error message it's not supported). Upon reading similar reviews, it seems this is a scam, unfortunately. Reporting them to Amazon.",2017-10-11,True,0,/gp/profile/amzn1.account.AEB7IM2QRJHO4KQ5QN35R7YZPMKQ/ref=cm_cr_arp_d_pdp?ie=UTF8,1.0
B0756YXM7H,"Does not work with iPhone 7 or iPad mini. Only plays for about 20 seconds, then gives an error message that it’s not supported. Unable to bypass the message even with the online tips.",2017-10-11,True,0,/gp/profile/amzn1.account.AE3FMRRJQCUQXA44T2F2OBQFDWIQ/ref=cm_cr_arp_d_pdp?ie=UTF8,1.0
B0756YXM7H,It’s a piece of crap DO NOT BUY!!!!!!! Doesn’t work!!!,2017-10-08,True,0,/gp/profile/amzn1.account.AGVHCO3VJLDULUBK25HHYED5YT2Q/ref=cm_cr_arp_d_pdp?ie=UTF8,1.0
B0756YXM7H,No stars. Not compatible with iPhone. So sad because it is a nice looking adaptor.,2017-10-03,True,0,/gp/profile/amzn1.account.AGO4A3WW6BWOTF7KTUABTHDYNGUQ/ref=cm_cr_arp_d_pdp?ie=UTF8,1.0
B0756YXM7H,"Didn't work on my phone. I have a iPhone 7 Plus... It said "" Accessory not supported"" Waste of money",2018-01-23,True,0,/gp/profile/amzn1.account.AGI3ITLLG6RV2FIQ6DFYVORAXBBA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Not compatible with new iPhone iOS update—but it looks nice. Too bad it doesn’t work and ended up being a total waste of money.,2017-11-22,True,0,/gp/profile/amzn1.account.AFB7MCYUHJ7EJFCMXEPG7NVAHEXA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,"very useful, I am very pleased....",2017-11-14,True,0,/gp/profile/amzn1.account.AEMNQWOXBVJ6PDRMJSRJWDGWUEJA/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,Don't buy!! It doesn't work.,2017-10-02,True,1,/gp/profile/amzn1.account.AHVBXFWF4PWKZZ6YS7SEVMGXD4TA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Bad product,2017-11-26,True,0,/gp/profile/amzn1.account.AEPK45KJQTSR4VLQI2RK5GTXJ52A/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,"It's a good idea, but the one I got didn't work, ever.",2017-11-11,True,0,/gp/profile/amzn1.account.AE4GRXMCGSBFLY44WAJXSNY4TMXQ/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,It did not work. I did not send back because just did not feel it was worth the hassle for the amount that I spent but never work.,2017-12-26,True,0,/gp/profile/amzn1.account.AH2SHGHFYE6D6O26BW2RLER4TMQA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,"it looks like it doesnt work properly. When i try to listen a music using aux, it doesnt support. I need my money back. :(",2017-10-04,True,0,/gp/profile/amzn1.account.AEDBN4J42TGY4COVWMYBCXXXDMYQ/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Doesn’t work. Don’t buy this. Pretty but not functional,2017-10-05,True,0,/gp/profile/amzn1.account.AEHY53O3GIRSVBXCJT6NGBRU7I4Q/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Useless.  Does NOT work with the7 plus.,2017-11-29,True,0,/gp/profile/amzn1.account.AF246YEXAPUX4KOV7GNBS25ODIVA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Worked for like 10 seconds then it said this device doesn't support my phone or whatever. Waste of money.,2017-10-17,True,0,/gp/profile/amzn1.account.AEFRZIDIJHG6CCWANWWPCWDSJOGA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Purchased it and tried it. This product is _not_ compatible with an iPhone 7.,2017-10-10,True,0,/gp/profile/amzn1.account.AFU7UIAPRYFHKJ2JWX4HPOANBNYQ/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,I would give it zero stars.. it did not work with my phone. Very disappointed,2017-10-23,True,0,/gp/profile/amzn1.account.AFGU5KRQCL6B4W7LEJOBN5MPUSOA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,This is an absolute piece of junk. It only works part of the time. Don’t waste your money!,2017-10-03,True,0,/gp/profile/amzn1.account.AEIA3MPTVODLI74WZWCIAB64TUIA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
